Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,Protein Name
SIL1,HGNC:24624,Marinesco-Sjogren syndrome,MONDO:0009567,AR,SOP10,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3511d4dd-48bc-4d93-9b86-16bf46fabc5d-2023-12-05T170000.000Z,2023-12-05T17:00:00.000Z,Lysosomal Diseases Gene Curation Expert Panel,SIL1,HGNC:24624,chr5:138282413-138534057,chr5:138946724-139198368,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SIL1&subject=,2021-08-23T15:59:07Z,Not Found
SCN5A,HGNC:10593,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_53c90d2e-4d40-48ab-8761-b0158102c977-2020-11-06T181622.881Z,2020-11-06T18:16:22.881Z,Dilated Cardiomyopathy Gene Curation Expert Panel,SCN5A,HGNC:10593,chr3:38589553-38691178,chr3:38548062-38649687,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN5A&subject=,2021-06-08T16:18:34Z,Not Found
SIN3A,HGNC:19353,SIN3A-related intellectual disability syndrome,MONDO:0044699,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8c6bb2ed-0912-4d60-9faa-39be27ecf4c7-2022-01-19T070000.000Z,2022-01-19T07:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SIN3A,HGNC:19353,chr15:75661720-75748156,chr15:75369379-75455815,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SIN3A&subject=,2020-01-13T19:23:33Z,Not Found
SCN2A,HGNC:10588,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2a1b7361-5c9e-4803-844d-ad6606a0acdb-2019-05-07T160000.000Z,2019-05-07T16:00:00.000Z,Epilepsy Gene Curation Expert Panel,SCN2A,HGNC:10588,chr2:166095924-166248814,chr2:165239414-165392304,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN2A&subject=,2020-04-22T16:09:34Z,Not Found
SIX1,HGNC:10887,branchio-oto-renal syndrome,MONDO:0007029,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e2587f3b-52e1-4765-a9ac-82d8cc5ae45b-2017-06-22T160000.000Z,2017-06-22T16:00:00.000Z,Hearing Loss Gene Curation Expert Panel,SIX1,HGNC:10887,chr14:61110139-61116195,chr14:60643421-60649477,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SIX1&subject=,2012-03-22T19:03:11Z,Not Found
SCN1B,HGNC:10586,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d4c35c20-6e59-46cf-9347-852b80af8dcc-2022-01-04T211051.949Z,2022-01-04T21:10:51.949Z,Epilepsy Gene Curation Expert Panel,SCN1B,HGNC:10586,chr19:35521374-35531353,chr19:35030470-35040449,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN1B&subject=,2019-09-04T15:12:47Z,Not Found
SCN1B,HGNC:10586,generalized epilepsy with febrile seizures plus,MONDO:0018214,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_91fb4b50-478b-4e3a-ac8a-a5cb7634a492-2022-12-13T170000.000Z,2022-12-13T17:00:00.000Z,Epilepsy Gene Curation Expert Panel,SCN1B,HGNC:10586,chr19:35521374-35531353,chr19:35030470-35040449,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN1B&subject=,2019-09-04T15:12:47Z,Not Found
SKIC3,HGNC:23639,trichohepatoenteric syndrome 1,MONDO:0024541,AR,SOP10,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0e528747-17dd-4c07-95cb-de05ad840740-2024-04-23T160000.000Z,2024-04-23T16:00:00.000Z,Syndromic Disorders Gene Curation Expert Panel,SKIC3,HGNC:23639,chr5:94799598-94890681,chr5:95463894-95554977,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SKIC3&subject=,2016-08-22T17:53:10Z,Not Found
SCARB2,HGNC:1665,progressive myoclonus epilepsy,MONDO:0020074,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dc556613-cf24-44ee-8354-98ce91f78d7d-2020-08-23T190000.000Z,2020-08-23T19:00:00.000Z,Epilepsy Gene Curation Expert Panel,SCARB2,HGNC:1665,chr4:77079890-77134977,chr4:76158737-76234532,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCARB2&subject=,2012-07-06T19:41:56Z,Not Found
SHANK3,HGNC:14294,Phelan-McDermid syndrome,MONDO:0011652,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e941703a-0f30-4f4c-a997-bc3b4295f289-2018-12-12T170000.000Z,2018-12-12T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SHANK3,HGNC:14294,chr22:51111251-51171640,chr22:50672823-50733212,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHANK3&subject=,2018-08-14T13:32:59Z,Not Found
SBF2,HGNC:2135,Charcot-Marie-Tooth disease type 4B2,MONDO:0011475,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_01893bf4-e95d-4206-9d2e-e3822f778b7a-2021-03-22T201309.257Z,2021-03-22T20:13:09.257Z,Charcot-Marie-Tooth Disease Gene Curation Expert Panel,SBF2,HGNC:2135,chr11:9800215-10315766,chr11:9778668-10303837,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SBF2&subject=,2016-08-22T17:52:07Z,Not Found
SATB2,HGNC:21637,SATB2 associated disorder,MONDO:0100147,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_44d14081-fa32-4159-9049-35f510d2351a-2020-09-15T160000.000Z,2020-09-15T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SATB2,HGNC:21637,chr2:200134223-200335989,chr2:199269500-199471266,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SATB2&subject=,2020-07-15T19:50:43Z,Not Found
RYR1,HGNC:10483,RYR1-related myopathy,MONDO:0100150,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fbd82373-705c-4b60-8b73-147ed461d357-2020-10-26T160000.000Z,2020-10-26T16:00:00.000Z,Congenital Myopathies Gene Curation Expert Panel,RYR1,HGNC:10483,chr19:38924331-39078204,chr19:38433691-38587564,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RYR1&subject=,2015-11-12T19:26:59Z,Not Found
SLC16A2,HGNC:10923,Allan-Herndon-Dudley syndrome,MONDO:0010354,XL,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b9242e32-a339-4426-8ef5-39df0960d390-2018-08-09T170000.000Z,2018-08-09T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SLC16A2,HGNC:10923,chrX:73641328-73753751,chrX:74421493-74533916,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC16A2&subject=,2012-06-28T19:07:17Z,Not Found
SLC17A5,HGNC:10933,free sialic acid storage disease,MONDO:0019366,AR,SOP10,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cfa5a3e8-f0f5-4cd8-93b4-0f81ceab1f6a-2023-10-30T160000.000Z,2023-10-30T16:00:00.000Z,Lysosomal Diseases Gene Curation Expert Panel,SLC17A5,HGNC:10933,chr6:74303102-74363715,chr6:73593379-73653992,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC17A5&subject=,2016-08-22T17:52:16Z,Not Found
RYR1,HGNC:10483,RYR1-related myopathy,MONDO:0100150,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d5e4ff9a-94ad-453f-b2de-76deb98fe4ca-2020-07-27T160000.000Z,2020-07-27T16:00:00.000Z,Congenital Myopathies Gene Curation Expert Panel,RYR1,HGNC:10483,chr19:38924331-39078204,chr19:38433691-38587564,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RYR1&subject=,2015-11-12T19:26:59Z,Not Found
RYR1,HGNC:10483,"malignant hyperthermia, susceptibility to, 1",MONDO:0007783,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bcd5e6ba-ef77-434c-9ec6-47f72f597bfe-2020-11-25T170000.000Z,2020-11-25T17:00:00.000Z,General Gene Curation Expert Panel,RYR1,HGNC:10483,chr19:38924331-39078204,chr19:38433691-38587564,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RYR1&subject=,2015-11-12T19:26:59Z,Not Found
RUNX1,HGNC:10471,hereditary thrombocytopenia and hematologic cancer predisposition syndrome,MONDO:0011071,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_06aed341-58db-459b-a750-7142e29b420b-2018-06-04T170000.000Z,2018-06-04T17:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,RUNX1,HGNC:10471,chr21:36160098-36421599,chr21:34787801-35049302,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RUNX1&subject=,2023-06-14T16:45:14Z,Not Found
SCN5A,HGNC:10593,familial long QT syndrome,MONDO:0019171,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ab19e69c-50fb-41e3-8adf-4d27617f3d55-2018-09-25T160000.000Z,2018-09-25T16:00:00.000Z,Long QT Syndrome Gene Curation Expert Panel,SCN5A,HGNC:10593,chr3:38589553-38691178,chr3:38548062-38649687,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN5A&subject=,2021-06-08T16:18:34Z,Not Found
SHANK2,HGNC:14295,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_911cb9ff-e68e-4b47-8639-f6a63ab11b3e-2019-07-17T160000.000Z,2019-07-17T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SHANK2,HGNC:14295,chr11:70313959-70963623,chr11:70467854-71253228,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHANK2&subject=,2023-10-26T19:19:22Z,Not Found
RAG1,HGNC:9831,recombinase activating gene 1 deficiency,MONDO:0000572,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f08ada81-650b-4764-99e4-f3156f67cbc9-2021-06-17T160000.000Z,2021-06-17T16:00:00.000Z,SCID-CID Gene Curation Expert Panel,RAG1,HGNC:9831,chr11:36531903-36601312,chr11:36510353-36579762,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RAG1&subject=,2016-08-22T17:51:50Z,Not Found
SDHB,HGNC:10681,mitochondrial disease,MONDO:0044970,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_53015cfb-c54a-4436-9ebd-79ae3fdbf613-2022-03-07T170000.000Z,2022-03-07T17:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,SDHB,HGNC:10681,chr1:17345217-17380527,chr1:17018722-17054032,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHB&subject=,2020-07-22T17:40:14Z,Not Found
SEC23B,HGNC:10702,congenital dyserythropoietic anemia type 2,MONDO:0009134,AR,SOP11,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b6093e90-7ec2-4cdb-9323-b67df78930a3-2024-11-20T170000.000Z,2024-11-20T17:00:00.000Z,Prenatal Gene Curation Expert Panel,SEC23B,HGNC:10702,chr20:18488192-18542059,chr20:18507548-18561415,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SEC23B&subject=,2016-08-22T17:52:10Z,Not Found
SDHC,HGNC:10682,hereditary pheochromocytoma-paraganglioma,MONDO:0017366,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8c6e49d4-8117-4fc2-88cd-aad0017ce2c4-2021-06-17T013125.314Z,2021-06-17T01:31:25.314Z,Hereditary Cancer Gene Curation Expert Panel,SDHC,HGNC:10682,chr1:161284171-161345130,chr1:161314381-161363206,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHC&subject=,2021-10-13T16:46:56Z,Not Found
SDHB,HGNC:10681,hereditary pheochromocytoma-paraganglioma,MONDO:0017366,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b5b8852d-1641-4c45-8aa2-57c2dfbac4ea-2021-06-17T012105.373Z,2021-06-17T01:21:05.373Z,Hereditary Cancer Gene Curation Expert Panel,SDHB,HGNC:10681,chr1:17345217-17380527,chr1:17018722-17054032,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHB&subject=,2020-07-22T17:40:14Z,Not Found
SERAC1,HGNC:21061,Leigh syndrome,MONDO:0009723,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bf6861ce-e13a-42c9-a4ff-942a83874bfd-2021-01-14T213356.750Z,2021-01-14T21:33:56.750Z,Mitochondrial Diseases Gene Curation Expert Panel,SERAC1,HGNC:21061,chr6:158530551-158589294,chr6:158109519-158168262,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SERAC1&subject=,2016-08-22T17:52:11Z,Not Found
SET,HGNC:10760,intellectual disability,MONDO:0001071,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4d7c9aa2-0a9a-4359-af98-6097cc6a3b91-2021-11-17T170000.000Z,2021-11-17T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SET,HGNC:10760,chr9:131445703-131458675,chr9:128683424-128696396,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SET&subject=,2025-01-22T17:10:26Z,Not Found
SETBP1,HGNC:15573,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_70505ca8-8869-4fa9-9965-fc8e03a19b28-2020-10-20T160000.000Z,2020-10-20T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETBP1,HGNC:15573,chr18:42260038-42648475,chr18:44680073-45068510,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETBP1&subject=,2018-05-23T16:20:58Z,Not Found
SETBP1,HGNC:15573,Schinzel-Giedion syndrome,MONDO:0010010,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_71885c03-b578-4baf-a17c-4817349eaf36-2021-02-16T170000.000Z,2021-02-16T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETBP1,HGNC:15573,chr18:42260038-42648475,chr18:44680073-45068510,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETBP1&subject=,2018-05-23T16:20:58Z,Not Found
SETD1B,HGNC:29187,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP11,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_44c7e8ef-e3f7-483e-87bb-7de1c11637d4-2024-08-20T160000.000Z,2024-08-20T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD1B,HGNC:29187,chr12:122241915-122270562,chr12:121790155-121832656,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD1B&subject=,2024-08-28T16:10:37Z,Not Found
SDHAF2,HGNC:26034,hereditary pheochromocytoma-paraganglioma,MONDO:0017366,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f70f16ee-a8b5-4f81-bd98-270fda25ffa4-2021-06-17T020032.120Z,2021-06-17T02:00:32.120Z,Hereditary Cancer Gene Curation Expert Panel,SDHAF2,HGNC:26034,chr11:61197596-61214205,chr11:61430124-61446733,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHAF2&subject=,2022-05-11T16:22:43Z,Not Found
SHANK1,HGNC:15474,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP10,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_57f9ab85-914e-4eec-ae66-efc80d612ef8-2024-03-20T040000.000Z,2024-03-20T04:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SHANK1,HGNC:15474,chr19:51162512-51223059,chr19:50659255-50719802,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SHANK1&subject=,2019-03-27T16:22:58Z,Not Found
SETD2,HGNC:18420,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,MONDO:0800477,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c8d0235a-b48e-4609-8c61-09586a83d1f2-2023-10-04T160000.000Z,2023-10-04T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD2,HGNC:18420,chr3:47057926-47205603,chr3:47016436-47164840,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD2&subject=,2022-03-08T17:28:07Z,Not Found
SDHAF1,HGNC:33867,mitochondrial disease,MONDO:0044970,AR,SOP10,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e421e4d0-9618-4fad-bf20-a509d8d527ed-2023-12-04T050000.000Z,2023-12-04T05:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,SDHAF1,HGNC:33867,chr19:36486090-36487214,chr19:35995188-35996312,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHAF1&subject=,2016-08-22T17:52:09Z,Not Found
SDCCAG8,HGNC:10671,Bardet-Biedl syndrome 16,MONDO:0014444,AR,SOP11,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_515a5937-a075-4bb7-97d6-a8712720c10f-2024-08-01T160000.000Z,2024-08-01T16:00:00.000Z,Retina Gene Curation Expert Panel,SDCCAG8,HGNC:10671,chr1:243419343-243663393,chr1:243256041-243500091,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDCCAG8&subject=,2016-08-22T17:52:08Z,Not Found
SCN8A,HGNC:10596,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f52993aa-ddee-483d-b15e-dbf21608d5a9-2018-07-18T125000.560Z,2018-07-18T12:50:00.560Z,Epilepsy Gene Curation Expert Panel,SCN8A,HGNC:10596,chr12:51985017-52206648,chr12:51591233-51812864,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN8A&subject=,2023-02-14T19:00:34Z,Not Found
SETD5,HGNC:25566,syndromic complex neurodevelopmental disorder,MONDO:0800439,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d0964426-ce53-46d4-87bb-e1eba4ac25ed-2023-07-27T180000.000Z,2023-07-27T18:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD5,HGNC:25566,chr3:9439299-9519838,chr3:9397615-9478154,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD5&subject=,2014-11-06T20:08:57Z,Not Found
SF3B4,HGNC:10771,SF3B4-related acrofacial dysostosis,MONDO:0800483,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f1dd38d7-8eac-460d-bcc1-c884cd503455-2023-05-18T040000.000Z,2023-05-18T04:00:00.000Z,Craniofacial Malformations Gene Curation Expert Panel,SF3B4,HGNC:10771,chr1:149895209-149899695,chr1:149923317-149927803,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SF3B4&subject=,2014-07-17T19:43:19Z,Not Found
SGSH,HGNC:10818,mucopolysaccharidosis type 3A,MONDO:0009655,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_438dab6d-abf4-44e8-a176-bb39ae128052-2022-06-15T160000.000Z,2022-06-15T16:00:00.000Z,Lysosomal Diseases Gene Curation Expert Panel,SGSH,HGNC:10818,chr17:78183075-78194132,chr17:80200673-80220333,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SGSH&subject=,2015-02-12T21:09:07Z,Not Found
SH3TC2,HGNC:29427,obsolete autosomal recessive hereditary demyelinating motor and sensory neuropathy,MONDO:0015361,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8d2b214f-3086-4012-bf4b-a6e651618f0b-2022-02-10T020711.223Z,2022-02-10T02:07:11.223Z,Charcot-Marie-Tooth Disease Gene Curation Expert Panel,SH3TC2,HGNC:29427,chr5:148361713-148442625,chr5:148982150-149063062,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SH3TC2&subject=,2016-08-22T17:52:14Z,Not Found
RTTN,HGNC:18654,microcephalic primordial dwarfism due to RTTN deficiency,MONDO:0018764,AR,SOP11,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ebfb3367-c465-4e77-9256-ab34683c8ba7-2024-10-24T160000.000Z,2024-10-24T16:00:00.000Z,Brain Malformations Gene Curation Expert Panel,RTTN,HGNC:18654,chr18:67670267-67872923,chr18:70003031-70205687,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RTTN&subject=,2016-08-22T17:52:05Z,Not Found
RSPH4A,HGNC:21558,primary ciliary dyskinesia 11,MONDO:0012978,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6f876804-e14a-4c7e-a826-232c7f445c7f-2022-04-05T150444.668Z,2022-04-05T15:04:44.668Z,Motile Ciliopathy Gene Curation Expert Panel,RSPH4A,HGNC:21558,chr6:116937642-116954148,chr6:116616479-116632985,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RSPH4A&subject=,2016-08-22T17:52:02Z,Not Found
SLC24A1,HGNC:10975,inherited retinal dystrophy,MONDO:0019118,AR,SOP10,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3071ba1a-21c2-46a7-a5e9-bc53c015c7a9-2024-09-05T160000.000Z,2024-09-05T16:00:00.000Z,Retina Gene Curation Expert Panel,SLC24A1,HGNC:10975,chr15:65903688-65953340,chr15:65611350-65661002,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC24A1&subject=,2016-08-22T17:52:17Z,Not Found
RARS2,HGNC:21406,mitochondrial disease,MONDO:0044970,AR,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1bdeaf04-f6ce-42f1-9ee0-037f1ead77fb-2022-05-04T160000.000Z,2022-05-04T16:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,RARS2,HGNC:21406,chr6:88223656-88299705,chr6:87513938-87589987,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RARS2&subject=,2015-04-09T03:17:36Z,Not Found
SLC38A8,HGNC:32434,foveal hypoplasia - optic nerve decussation defect - anterior segment dysgenesis syndrome,MONDO:0012216,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5eb4abb6-392a-4ded-9a3e-79aaea763377-2023-02-10T170000.000Z,2023-02-10T17:00:00.000Z,Aminoacidopathy Gene Curation Expert Panel,SLC38A8,HGNC:32434,chr16:84043272-84076400,chr16:84009667-84043372,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC38A8&subject=,2016-08-22T17:52:23Z,Not Found
SLC6A3,HGNC:11049,SLC6A3-related dopamine transporter deficiency syndrome,MONDO:0700117,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bb7a8001-1bc9-4cdf-bb99-1979737bda79-2023-01-09T170000.000Z,2023-01-09T17:00:00.000Z,General Inborn Errors of Metabolism Gene Curation Expert Panel,SLC6A3,HGNC:11049,chr5:1392909-1445555,chr5:1392794-1445440,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC6A3&subject=,2016-08-22T17:52:25Z,Not Found
RET,HGNC:9967,multiple endocrine neoplasia type 2B,MONDO:0008082,AD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5e4425f0-0900-43c3-aac4-5b37554be386-2020-05-14T010345.543Z,2020-05-14T01:03:45.543Z,Hereditary Cancer Gene Curation Expert Panel,RET,HGNC:9967,chr10:43572517-43625799,chr10:43077069-43130351,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RET&subject=,2020-08-26T16:40:35Z,Not Found
